"Refund Details","Возврат Подробнее"
"Payment Details","Платежные реквизиты"
"Order Id","Заказать Id"
"Partner Paypal Id","Партнеры PayPal Id"
"Created At","Создано на"
"Partner Amount","Партнер Количество"
"Commission Amount","Комиссия Количество"
"Currency Code","Код валюты"
"Buyer Paypal Id","Покупатель Paypal Id"
"Transaction Id","ID транзакции"
"Transaction Status","статус операции"
"Refund Net Amount","статус операции"
"Refund Fee Amount","Возврат Сумма платежа"
"Refund Gross Amount","Возврат валовой суммы"
"Currency Code","Код валюты"
"Transaction Id","ID транзакции"
"Refund Status","Возврат Статус"
"No order for processing found","Нет порядка для обработки найдено"
"You have ordered more than 5 partner products","Вы заказали более 5 продуктов партнеров"
"Please contact admin partner amount is greater than total amount","Сумма свяжитесь админ партнером больше, чем общая сумма"
"Pay API call failed.","Платное API Сбой вызова."
"Error Message:","Сообщение об ошибке:"
"Partial amount of captured automatically.","Частичное количество фиксируется автоматически."
"Payment Cancelled.","Оплата Отменен."
"Unable to cancel Paypal Adaptive Checkout.","Невозможно отменить Paypal адаптивного выезда."
"Paypal Adaptive Payment","Paypal Адаптивная Оплата"
"Paypal Adaptive Payment Details","Paypal Адаптивные Платежные реквизиты"
"Paypal Adaptive Refund","Paypal Адаптивная Возврат"
"Paypal Adaptive Refund Details","Paypal Адаптивные возврат Подробности"
"Enabled","Включено"
"API connection failed : ","Подключение API не удалось: "
"Disabled","инвалид"
"Processing","обработка"
"Complete","обработка"
"Sandbox Mode","Режим Песочница"
"Title","название"
"Description","описание"
"New Order Status","Новый статус заказа"
"Payment Sucessful Order Status","Статус Оплата Успешной Заказать"
"Merchant Paypal Mail Address","Торговец Paypal Mail адресс"
"Paypal Application Id","Paypal Применение Id"
"Paypal API Username","Paypal API Имя пользователя"
"Paypal API Password","Paypal API Пароль"
"Paypal API Signature","Paypal API Подпись"
"Apptha Paypal Adaptive","Apptha Paypal Адаптивная"
"Payment Details","Платежные реквизиты"
"Refund Details","Возврат Подробнее"
"You will be redirected to the Paypal Checkout website when you place an order.","Вы будете перенаправлены на сайт Paypal заказ, когда вы размещаете заказ."
"Paypal Adaptive Options","Paypal Адаптивные параметры"
"Share sales with Partner","Поделиться продаж с партнером"
"If disabled, config settings will be used.","Если отключена, будут использованы настройки конфигурации."
"Partner's Paypal Mail Address","Партнера Paypal Mail адресс"
"GLOBAL","ГЛОБАЛЬНАЯ"
"Share Mode","Поделиться Режим"
"Share Value","Поделиться Значение"
"Percent","процент"
"Fixed","фиксированный"
"Apptha Paypal Adaptive Options","Apptha Опции Paypal Адаптивные"
"Processing","обработка"
"Complete","полный"
"Error occurred","произошла ошибка"
"API connection failed : Error occurred","Подключение API не удалось: Произошла ошибка"
